tag,content,links
ul,"Alumni & Friends
Community
Current Students
Faculty & Staff
Parents & Family
Prospective Students","['https://www.charlotte.edu/gateway/alumni-friends', 'https://www.charlotte.edu/gateway/community', 'https://www.charlotte.edu/gateway/current-students', 'https://www.charlotte.edu/gateway/faculty-staff', 'https://www.charlotte.edu/gateway/parents-family', 'https://www.charlotte.edu/gateway/prospective-students']"
p,Go to Charlotte.edu,[]
h2,Prospective Students,[]
ul,"About UNC Charlotte


Campus Life


Admissions


Graduate Admissions","['https://www.charlotte.edu/landing/about-us', 'https://www.charlotte.edu/landing/campus-life', 'https://admissions.charlotte.edu/', 'https://gradadmissions.charlotte.edu/']"
h2,Faculty and Staff,[]
ul,"Human Resources


Auxiliary Services


Inside UNC Charlotte


Academic Affairs","['https://hr.charlotte.edu/', 'https://aux.charlotte.edu/', 'https://inside.charlotte.edu/', 'https://provost.charlotte.edu/']"
h2,Current Students,[]
ul,"Athletics


Financial Aid


Advising


Student Health","['http://www.charlotte49ers.com/', 'https://finaid.charlotte.edu/', 'https://advising.charlotte.edu/', 'https://studenthealth.charlotte.edu/']"
h2,Alumni and Friends,[]
ul,"Alumni Association


Advancement


Foundation


Make a Gift","['https://alumni.charlotte.edu/', 'https://advancement.charlotte.edu/', 'https://foundation.charlotte.edu/', 'https://giving.charlotte.edu/']"
h2,Main Menu,[]
ul,"About Us

Technology Resources
Student Experience
Job Opportunities
Vision and Mission
Strategic Plan
Policies and Procedures
CCI Alumni Network
Giving
Program Assessment


Directory

Office of the Dean
Dean’s Advisory Board
Faculty
Staff
Post Docs
Ph.D. Students
Contact Us


Events
Departments

Department of Bioinformatics and Genomics
Department of Computer Science
Department of Software information Systems
NC Research Campus (NCRC)


Academic Programs

Undergraduate Studies
Graduate Programs
Doctoral Degrees
Graduate Certificates
CCI Honors Program


CCI Research Areas

NEW Funding Opportunities
Faculty Areas of Expertise
Labs
CCI Innovation Fund
CCI Research Seminars
Undergraduate Research
Research FAQ


Student Life

Advising
CCI Mentoring
CCI Learning Community
Student Resources
CCI Undergraduate Tutoring Center
Student Clubs & Organizations
CCI Dean’s Ambassador Program


Business Partners

Benefits
Student Professional Development Events and Opportunities
Lowe’s Technology Days","['https://cci.charlotte.edu/about-us/cci-brochure-2018/cci-brochure-2019/', 'https://cci.charlotte.edu/cci-fast-facts/oneit-help-center-in-woodward/', 'https://cci.charlotte.edu/cci-fast-facts/diversity/', 'https://cci.charlotte.edu/applications-are-being-accepted-for-multiple-faculty-positions/', 'https://cci.charlotte.edu/about-us/mission-and-values/', 'https://cci.charlotte.edu/about-us/2022-strategic-plan/', 'https://cci.charlotte.edu/about-us/policies-and-procedures/', 'https://cci.charlotte.edu/about-us/cci-alumni-network/', 'https://cci.charlotte.edu/cci-fast-facts/giving/', 'https://cci.charlotte.edu/about-us/program-assessment/', 'https://cci.charlotte.edu/about-us/people/', 'https://cci.charlotte.edu/about-us/people/', 'https://cci.charlotte.edu/directory/deans-advisory-board/', 'https://cci.charlotte.edu/directory/faculty/', 'https://cci.charlotte.edu/directory/13/', 'https://cci.charlotte.edu/directory/15/', 'https://cci.charlotte.edu/directory/ph-d-students/', 'https://cci.charlotte.edu/directory/contact/', 'https://cci.charlotte.edu/events/', 'https://cci.charlotte.edu/departments/', 'https://cci.charlotte.edu/departments/department-of-bioinformatics-and-genomics/', 'https://cci.charlotte.edu/departments/department-of-computer-science/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/', 'https://cci.charlotte.edu/departments/nc-research-campus-ncrc/', 'https://cci.charlotte.edu/academics/', 'https://cci.charlotte.edu/academics/undergraduate-studies/', 'https://cci.charlotte.edu/graduate-programs/', 'https://cci.charlotte.edu/academics/doctoral-degrees/', 'https://cci.charlotte.edu/academics/graduate-certificates/', 'https://cci.charlotte.edu/academics/honors-program/', 'https://cci.charlotte.edu/cci-research-areas/', 'https://cci.charlotte.edu/research/new-funding-opportunities/', 'https://cci.charlotte.edu/research/faculty-areas-expertise/', 'https://cci.charlotte.edu/cci-research-areas/labs/', 'https://cci.charlotte.edu/research/cci-innovation-fund/', 'https://cci.charlotte.edu/research/research-seminar/', 'https://cci.charlotte.edu/research/undergraduate-research-opportunities/', 'https://cci.charlotte.edu/research/research-faq/', 'https://cci.charlotte.edu/student-life/unc-charlotte-student-life/', 'https://cci.charlotte.edu/advising/', 'https://cci.charlotte.edu/student-life/cci-mentoring/', 'https://cci.charlotte.edu/unc-charlotte-student-life/learning-community/', 'https://cci.charlotte.edu/node/6871/', 'https://cci.charlotte.edu/student-life/tutoring/', 'https://cci.charlotte.edu/unc-charlotte-student-life/students-clubs-organizations/', 'https://cci.charlotte.edu/student-life/cci-deans-ambassador-program/', 'https://cci.charlotte.edu/partners/', 'https://cci.charlotte.edu/partners/business-partners/benefits/', 'https://cci.charlotte.edu/business-partners/business-partners-newsletter/', 'https://cci.charlotte.edu/partners/lowes-technology-days/']"
ul,"Technology Resources
Student Experience
Job Opportunities
Vision and Mission
Strategic Plan
Policies and Procedures
CCI Alumni Network
Giving
Program Assessment","['https://cci.charlotte.edu/cci-fast-facts/oneit-help-center-in-woodward/', 'https://cci.charlotte.edu/cci-fast-facts/diversity/', 'https://cci.charlotte.edu/applications-are-being-accepted-for-multiple-faculty-positions/', 'https://cci.charlotte.edu/about-us/mission-and-values/', 'https://cci.charlotte.edu/about-us/2022-strategic-plan/', 'https://cci.charlotte.edu/about-us/policies-and-procedures/', 'https://cci.charlotte.edu/about-us/cci-alumni-network/', 'https://cci.charlotte.edu/cci-fast-facts/giving/', 'https://cci.charlotte.edu/about-us/program-assessment/']"
ul,"Office of the Dean
Dean’s Advisory Board
Faculty
Staff
Post Docs
Ph.D. Students
Contact Us","['https://cci.charlotte.edu/about-us/people/', 'https://cci.charlotte.edu/directory/deans-advisory-board/', 'https://cci.charlotte.edu/directory/faculty/', 'https://cci.charlotte.edu/directory/13/', 'https://cci.charlotte.edu/directory/15/', 'https://cci.charlotte.edu/directory/ph-d-students/', 'https://cci.charlotte.edu/directory/contact/']"
